blockLabel,blockID
AA,Q7
CC,Q8
DH,Q9
EW,Q10
HH,Q11
MaG,Q12
MeG,Q13
MS,Q14
MW,Q15
PB,Q16
RL,Q17
SK,Q18
TC,Q19
AA_word,Q21
CC_word,Q22
DH_word,Q23
EW_word,Q24
HH_word,Q25
MaG_word,Q26
MeG_word,Q27
MS_word,Q28
PB_word,Q29
RL_word,Q30
TC_word,Q31
MW_word,Q32
SK_word,Q33
AA.R,Q35
AA_word.R,Q36
CC.R,Q37
CC_word.R,Q38
DH.R,Q39
DH_word.R,Q40
EW.R,Q41
EW_word.R,Q42
HH.R,Q43
HH_word.R,Q44
MaG.R,Q45
MaG_word.R,Q46
MeG.R,Q47
MeG_word.R,Q48
MS.R,Q49
MS_word.R,Q50
PB.R,Q51
PB_word.R,Q52
RL.R,Q53
RL_word.R,Q54
TC.R,Q55
TC_word.R,Q56
MW.R,Q57
MW_word.R,Q58
SK.R,Q59
SK_word.R,Q60
